id,50,10,5,2,1,sentence
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,41,41,36,16,5,23
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,25,25,18,6,3,6
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,17,17,10,5,3,2
G10_Classics_01_shijing_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,73,73,52,34,17,32
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,119,119,81,38,21,31
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,3,3,3,2,1,2
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,2,2,1,1,0,1
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,27,27,23,12,8,6
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,29,29,21,12,5,8
G10_Classics_01_shijing_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,9,9,7,1,0,4
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,40,40,30,15,7,28
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,53,53,35,20,16,34
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,28,28,21,15,8,16
G10_Classics_02_shangshu_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,14,14,8,1,0,6
