id,50,10,5,2,1,sentence
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_morality_stopwords_delimiters_10_,94,94,69,30,16,41
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_reduced_punishment_stopwords_delimiters_10_,1,1,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_religion_stopwords_delimiters_10_,7,7,7,4,3,5
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_cognition_stopwords_delimiters_10_,5,5,3,1,0,3
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_morality_stopwords_delimiters_10_,9,9,7,5,4,4
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_emotion_stopwords_delimiters_10_,5,5,4,3,2,3
G10_Classics_01_shijing_seg_nopunc_reduced_deity_reduced_reward_stopwords_delimiters_10_,2,2,1,1,1,1
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_punishment_stopwords_delimiters_10_,13,13,10,8,7,1
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,12,12,11,6,4,4
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_cognition_stopwords_delimiters_10_,4,4,2,2,2,2
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_reward_stopwords_delimiters_10_,5,5,3,0,0,2
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_morality_stopwords_delimiters_10_,18,18,14,6,2,6
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_emotion_stopwords_delimiters_10_,71,71,51,25,7,29
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_cognition_stopwords_delimiters_10_,1,1,1,1,1,1
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_emotion_stopwords_delimiters_10_,5,5,4,3,3,0
G10_Classics_01_shijing_seg_nopunc_reduced_deity_reduced_punishment_stopwords_delimiters_10_,7,7,6,3,3,2
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_cognition_stopwords_delimiters_10_,43,43,20,5,3,8
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_religion_stopwords_delimiters_10_,90,90,58,30,20,38
G10_Classics_02_shangshu_seg_nopunc_stoplisted_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_reduced_gods_ubc_morality_stopwords_delimiters_10_,301,301,191,66,29,187
G10_Classics_02_shangshu_seg_nopunc_stoplisted_tian_reduced_punishment_stopwords_delimiters_10_,3,3,3,3,2,3
G10_Classics_02_shangshu_seg_nopunc_stoplisted_tian_ubc_religion_stopwords_delimiters_10_,17,17,12,7,5,9
G10_Classics_02_shangshu_seg_nopunc_reduced_deity_ubc_cognition_stopwords_delimiters_10_,6,6,1,0,0,5
G10_Classics_02_shangshu_seg_nopunc_stoplisted_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_stoplisted_tian_ubc_morality_stopwords_delimiters_10_,24,24,19,10,5,7
G10_Classics_02_shangshu_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_reduced_deity_ubc_emotion_stopwords_delimiters_10_,5,5,4,2,2,3
G10_Classics_02_shangshu_seg_nopunc_reduced_deity_reduced_reward_stopwords_delimiters_10_,1,1,1,0,0,1
G10_Classics_02_shangshu_seg_nopunc_reduced_gods_reduced_punishment_stopwords_delimiters_10_,43,43,31,16,8,24
G10_Classics_02_shangshu_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,24,24,18,9,7,10
G10_Classics_02_shangshu_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_stoplisted_tian_ubc_cognition_stopwords_delimiters_10_,2,2,2,1,0,1
