id,50,10,5,2,1,sentence
G10_Classics_01_shijing_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,18,18,9,1,0,7
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,50,50,37,21,9,33
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,2,2,2,1,0,1
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,22,22,17,8,5,9
G10_Classics_01_shijing_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,9,9,8,3,2,5
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,68,68,46,19,6,34
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,13,13,7,3,1,2
G10_Classics_01_shijing_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,24,24,12,6,3,7
G10_Classics_01_shijing_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,4,4,2,1,1,2
G10_Classics_01_shijing_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,48,48,39,25,10,23
G10_Classics_02_shangshu_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,12,12,3,1,0,6
G10_Classics_02_shangshu_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,84,84,37,13,6,47
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,200,200,124,73,40,155
G10_Classics_02_shangshu_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,21,21,10,4,1,15
G10_Classics_02_shangshu_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,52,52,29,11,5,39
G10_Classics_02_shangshu_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,20,20,11,5,3,13
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,186,186,112,34,10,126
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,26,26,15,5,2,17
G10_Classics_02_shangshu_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,45,45,27,12,10,32
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,1,1,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,42,42,28,16,8,28
G10_Classics_03_zhouyi_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,1,1,0,0,0,1
G10_Classics_03_zhouyi_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,12,12,5,2,0,8
G10_Classics_03_zhouyi_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,133,133,83,37,16,93
G10_Classics_03_zhouyi_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,5,5,3,0,0,2
G10_Classics_03_zhouyi_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,2,2,1,0,0,2
G10_Classics_03_zhouyi_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
