id,50,10,5,2,1,sentence
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,9,9,4,3,1,4
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_religion_stopwords_delimiters_10_,64,64,45,28,14,41
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_reward_stopwords_delimiters_10_,4,4,1,0,0,2
G10_Classics_01_shijing_seg_nopunc_reduced_deity_reduced_reward_stopwords_delimiters_10_,2,2,1,1,0,1
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_emotion_stopwords_delimiters_10_,49,49,40,16,3,28
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_emotion_stopwords_delimiters_10_,1,1,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_cognition_stopwords_delimiters_10_,1,1,1,1,1,1
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_reduced_gods_reduced_punishment_stopwords_delimiters_10_,12,12,10,3,2,2
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_cognition_stopwords_delimiters_10_,24,24,15,7,3,8
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_emotion_stopwords_delimiters_10_,7,7,4,1,1,4
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_morality_stopwords_delimiters_10_,12,12,10,6,4,6
G10_Classics_01_shijing_seg_nopunc_reduced_deity_reduced_punishment_stopwords_delimiters_10_,6,6,5,1,1,2
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_cognition_stopwords_delimiters_10_,3,3,2,1,1,2
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_religion_stopwords_delimiters_10_,8,8,7,3,1,4
G10_Classics_01_shijing_seg_nopunc_reduced_deity_ubc_cognition_stopwords_delimiters_10_,7,7,2,1,0,3
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_01_shijing_seg_nopunc_stoplisted_tian_ubc_morality_stopwords_delimiters_10_,5,5,4,1,0,4
G10_Classics_01_shijing_seg_nopunc_reduced_gods_ubc_morality_stopwords_delimiters_10_,102,102,79,38,20,41
G10_Classics_01_shijing_seg_nopunc_stoplisted_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,20,20,10,3,1,12
G10_Classics_02_shangshu_seg_nopunc_reduced_gods_ubc_religion_stopwords_delimiters_10_,232,232,140,77,42,188
G10_Classics_02_shangshu_seg_nopunc_reduced_gods_reduced_reward_stopwords_delimiters_10_,1,1,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_reduced_deity_reduced_reward_stopwords_delimiters_10_,1,1,1,0,0,1
G10_Classics_02_shangshu_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_02_shangshu_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
