text_name,天,帝,
G10_Classics_01_shijing_seg_nopunc,170,43,
G10_Classics_02_shangshu_seg_nopunc,279,132,
G10_Classics_03_zhouyi_seg_nopunc,328,16,
G10_Classics_04_zhouli_seg_nopunc,78,18,
G10_Classics_05_chuci_seg_nopunc,75,26,
G10_Classics_06_yili_seg_nopunc,23,0,
G10_Classics_07_shanhaijing_seg_nopunc,75,101,
G10_Classics_08_jiaoshiyilin_seg_nopunc,246,28,
G10_Classics_09_jingshiyizhuan_seg_nopunc,73,1,
G10_Classics_10_shishuo_seg_nopunc,28,3,
G11_Etymology_01_shuowenjiezi_seg_nopunc,123,37,
G11_Etymology_02_erya_seg_nopunc,20,2,
G11_Etymology_03_shiming_seg_nopunc,22,1,
G11_Etymology_04_fangyan_seg_nopunc,2,0,
G11_Etymology_05_jijiupian_seg_nopunc,0,0,
G12_Medicine_01_huangdineijing_seg_nopunc,720,1082,
G12_Medicine_02_nanjing_seg_nopunc,2,0,
G12_Medicine_03_shanghanlun_seg_nopunc,5,1,
G12_Medicine_04_jinkuiyaolue_seg_nopunc,8,0,
G13_Excavated_01_guodian_seg_nopunc,32,0,
G13_Excavated_02_mawangdui_seg_nopunc,150,2,
G1_Rujia_01_lunyu_seg_nopunc,49,3,
G1_Rujia_02_mengzi_seg_nopunc,293,11,
G1_Rujia_03_liji_seg_nopunc,673,73,
G1_Rujia_04_xunzi_seg_nopunc,598,17,
G1_Rujia_05_xiao-jing_seg_nopunc,26,1,
G1_Rujia_06_shuo-yuan_seg_nopunc,532,69,
G1_Rujia_07_chun-qiu-fan-lu_seg_nopunc,960,41,
G1_Rujia_08_han-shi-wai-zhuan_seg_nopunc,313,25,
G1_Rujia_09_da-dai-li-ji_seg_nopunc,282,43,
G1_Rujia_10_bai-hu-tong_seg_nopunc,488,80,
G1_Rujia_11_xin-shu_seg_nopunc,385,83,
G1_Rujia_12_xin-xu_seg_nopunc,255,51,
G1_Rujia_13_yangzi-fayan_seg_nopunc,132,13,
G1_Rujia_14_zhong-lun_seg_nopunc,60,24,
G1_Rujia_15_kongzi-jiayu_seg_nopunc,254,58,
G1_Rujia_16_qian-fu-lun_seg_nopunc,221,93,
G1_Rujia_17_lunheng_seg_nopunc,1745,449,
G1_Rujia_18_taixuanjing_seg_nopunc,175,10,
G1_Rujia_19_fengsutongyi_seg_nopunc,146,123,
G1_Rujia_20_kongcongzi_seg_nopunc,135,30,
G1_Rujia_21_shenjian_seg_nopunc,59,7,
G2_Dao_01_zhuangzi_seg_nopunc,678,70,
G2_Dao_02_dao-de-jing_seg_nopunc,92,1,
G2_Dao_03_liezi_seg_nopunc,153,32,
G2_Dao_04_he-guan-zi_seg_nopunc,218,6,
G2_Dao_05_wenzi_seg_nopunc,413,26,
