text_name,天下,天子,天地,
G10_Classics_01_shijing_seg_nopunc,1,21,0,
G10_Classics_02_shangshu_seg_nopunc,20,11,2,
G10_Classics_03_zhouyi_seg_nopunc,96,3,81,
G10_Classics_04_zhouli_seg_nopunc,20,12,8,
G10_Classics_05_chuci_seg_nopunc,5,0,9,
G10_Classics_06_yili_seg_nopunc,1,16,0,
G10_Classics_07_shanhaijing_seg_nopunc,23,5,4,
G10_Classics_08_jiaoshiyilin_seg_nopunc,36,2,15,
G10_Classics_09_jingshiyizhuan_seg_nopunc,9,1,26,
G10_Classics_10_shishuo_seg_nopunc,0,19,0,
G11_Etymology_01_shuowenjiezi_seg_nopunc,12,33,11,
G11_Etymology_02_erya_seg_nopunc,1,1,0,
G11_Etymology_03_shiming_seg_nopunc,1,7,1,
G11_Etymology_04_fangyan_seg_nopunc,0,0,0,
G11_Etymology_05_jijiupian_seg_nopunc,0,0,0,
G12_Medicine_01_huangdineijing_seg_nopunc,18,1,121,
G12_Medicine_02_nanjing_seg_nopunc,0,0,0,
G12_Medicine_03_shanghanlun_seg_nopunc,0,0,2,
G12_Medicine_04_jinkuiyaolue_seg_nopunc,0,0,0,
G13_Excavated_01_guodian_seg_nopunc,19,0,4,
G13_Excavated_02_mawangdui_seg_nopunc,90,2,17,
G1_Rujia_01_lunyu_seg_nopunc,23,2,0,
G1_Rujia_02_mengzi_seg_nopunc,174,35,2,
G1_Rujia_03_liji_seg_nopunc,129,313,86,
G1_Rujia_04_xunzi_seg_nopunc,373,51,40,
G1_Rujia_05_xiao-jing_seg_nopunc,11,5,3,
G1_Rujia_06_shuo-yuan_seg_nopunc,216,104,25,
G1_Rujia_07_chun-qiu-fan-lu_seg_nopunc,105,80,134,
G1_Rujia_08_han-shi-wai-zhuan_seg_nopunc,134,41,27,
G1_Rujia_09_da-dai-li-ji_seg_nopunc,94,75,23,
G1_Rujia_10_bai-hu-tong_seg_nopunc,92,178,49,
G1_Rujia_11_xin-shu_seg_nopunc,210,105,15,
G1_Rujia_12_xin-xu_seg_nopunc,160,17,9,
G1_Rujia_13_yangzi-fayan_seg_nopunc,42,2,23,
G1_Rujia_14_zhong-lun_seg_nopunc,21,5,6,
G1_Rujia_15_kongzi-jiayu_seg_nopunc,100,43,23,
G1_Rujia_16_qian-fu-lun_seg_nopunc,38,15,17,
G1_Rujia_17_lunheng_seg_nopunc,222,47,212,
G1_Rujia_18_taixuanjing_seg_nopunc,14,0,30,
G1_Rujia_19_fengsutongyi_seg_nopunc,45,16,16,
G1_Rujia_20_kongcongzi_seg_nopunc,67,31,8,
G1_Rujia_21_shenjian_seg_nopunc,21,4,10,
G2_Dao_01_zhuangzi_seg_nopunc,292,23,96,
G2_Dao_02_dao-de-jing_seg_nopunc,61,1,9,
